Name,C,M,Y,K
Hermosa Pink,0,30,6,0
Corinthian Pink,0,35,15,0
Cameo Pink,10,32,19,0
Fawn,18,31,30,0
Light Brown Drab,8,30,20,25
Coral Red,0,55,40,0
Fresh Color,0,53,45,0
Grenadine Pink,0,62,58,0
Eosine Pink,0,63,23,0
Spinel Red,0,70,21,0
Old Rose,15,70,40,0
Eugenia Red | A,7,76,60,0
Eugenia Red | B,0,80,50,10
Raw Sienna,18,58,100,12
Vinaceous Tawny,17,72,100,6
Jasper Red,2,83,100,0
Spectrum Red,5,100,100,0
Red Orange,9,90,100,0
Etruscan Red,16,80,74,6
Burnt Sienna,22,76,100,15
Ochre Red,18,73,63,20
Scarlet,10,95,72,7
Carmine,0,100,75,16
Indian Lake,12,89,35,9
Rosolanc Purple,30,90,33,0
Pomegranite Purple,23,100,50,6
Hydrangea Red,38,90,70,0
Brick Red,22,84,100,18
Carmine Red,25,95,80,16
Pompeian Red,18,97,74,19
Red,30,100,70,10
Brown,35,74,90,35
Hay's Russet,37,85,87,35
Vandyke Red,32,95,95,33
Pansy Purple,34,100,60,34
Pale Burnt Lake,25,90,80,40
Violet Red,75,100,50,5
Vistoris Lake,40,71,55,40
Sulpher Yellow,4,4,28,0
Pale Lemon Yellow,0,4,38,0
Naples Yellow,2,7,44,0
Ivory Buff,8,15,40,0
Seashell Pink,0,19,23,0
Light Pinkish Cinnamon,0,25,40,0
Pinkish Cinnamon,5,32,53,0
Cinnamon Buff,0,25,57,0
Cream Yellow,0,28,68,0
Golden Yellow,2,42,74,0
Vinaceous Cinnamon,4,40,42,0
Ochraceous Salmon,15,38,55,0
Isabella Color,15,28,60,10
Maple,5,26,56,20
Olive Buff,16,6,42,12
Ecru,20,25,40,6
Yellow,0,0,100,0
Lemon Yellow,5,0,85,0
Apricot Yellow,0,10,100,0
Pyrite Yellow,23,25,80,0
Olive Ocher,18,26,90,0
Yellow Ocher,12,28,88,0
Orange Yellow,0,33,100,0
Yellow Orange,0,45,100,0
Apricot Orange,0,55,75,0
Orange,0,68,100,0
Peach Red,0,80,90,0
English Red,13,73,100,0
Cinnamon Rufous,20,60,82,5
Orange Rufous,18,65,100,8
Sulphine Yellow,24,32,100,4
Khaki,24,45,100,6
Citron Yellow,35,17,95,0
Citrine,36,32,100,0
Buffy Citrine,42,40,82,8
Dark Citrine,38,34,67,20
Light Grayish Olive,43,36,62,19
Krongbergs Green,48,35,70,12
Olive,48,38,100,15
Orange Citrine,28,48,92,24
Sudan Brown,25,60,65,19
Olive Green,56,40,85,22
Light Brownish Olive,42,46,73,24
Deep Grayish Olive,50,48,78,37
Pale Raw Umber,46,63,87,32
Sepia,48,60,100,40
Madder Brown,36,88,100,38
Mars Brown Tobacco,39,76,100,47
Vandyke Brown,56,71,97,52
Turquoise Green,29,0,24,0
Glaucous Green,30,9,24,0
Dark Greenish Glaucous,30,15,36,0
Yellow Green,35,0,72,0
Light Green Yellow,26,5,85,0
Night Green,52,0,100,0
Olive Yellow,40,30,80,0
Artemesia Green,57,28,39,8
Andover Green,60,40,50,10
Rainette Green,42,20,62,10
Chromium Green,50,16,58,20
Pistachio Green,64,29,56,6
Sea Green,80,0,51,0
Benzol Green,100,15,55,0
Light Porcelain Green,86,22,50,3
Green,75,21,73,0
Dull Viridian Green,90,20,80,0
Oil Green,53,28,100,8
Diamine Green,87,32,91,18
Cossack Green,76,32,91,18
Lincoln Green,60,48,86,37
Blackish Olive,56,32,63,55
Deep Slate Olive,76,60,80,62
Nile Blue,25,0,10,0
Pale King's Blue,33,4,7,0
Light Glaucous Blue,35,10,14,0
Salvia Blue,41,25,10,0
Cobalt Green,42,0,42,0
Calamine BLue,50,0,20,0
Venice Green,58,0,30,0
Cerulian Blue,84,26,32,0
Peacock Blue,100,19,43,0
Green Blue,82,24,40,3
Olympic Blue,69,44,10,0
Blue,95,54,0,0
Antwarp Blue,100,40,30,10
Helvetia Blue,100,62,19,10
Dark Medici Blue,70,45,45,15
Dusky Green,100,30,64,50
Deep Lyons Blue,100,85,15,6
Violet Blue,85,79,38,16
Vandar Poel's Blue,100,73,43,10
Dark Tyrian Blue,90,66,36,50
Dull Violet Black,95,106,38,50
Deep Indigo,100,92,52,60
Deep Slate Green,80,50,60,70
Grayish Lavender - A,28,28,0,0
Grayish Lavender - B,25,33,20,0
Laelia Pink,20,48,18,0
Lilac,28,54,8,0
Eupatorium Purple,25,79,12,0
Light Mauve,43,62,5,0
Aconite Violet,39,68,5,0
Dull Blue Violet,57,60,17,0
Dark Soft Violet,70,68,13,0
Blue Violet,72,80,0,0
Purple Drab,38,65,49,26
Deep Violet / Plumbeous,61,52,43,7
Veronia Purple,42,78,46,15
Dark Slate Purple,64,85,60,10
Taupe Brown,30,70,35,40
Violet Carmine,64,90,70,10
Violet,85,90,18,0
Red Violet,76,100,25,15
Cotinga Purple,66,100,42,40
Dusky Madder Violet,75,100,46,30
White,0,0,0,0
Neutral Gray,29,18,20,0
Mineral Gray,33,18,25,7
Warm Gray,37,28,36,3
Slate Color,85,70,62,30
Black,20,10,15,100
